idx_0	idx_1	title	file	n_l
0	NA		index.qmd	7
0	NA		preface.qmd	266
1	1	Exploratory Data Analysis	eda.qmd	491
1	2	Conditional Distributions	conditioning.qmd	1144
1	3	Clustering: EDA in Higher Dimensions	clustering.qmd	1091
1	4	Statistical Simulation	simulation.qmd	685
1	5	Sampling and Study Design	study-design.qmd	720
1	6	Information Theory	info-theory.qmd	366
2	7	Linear Regression	lin-reg.qmd	963
2	8	Principal Component Analysis	pca.qmd	1321
2	9	Linear Discriminant Analysis	lin-discr.qmd	1261
3	10	Text as Data	text-as-data.qmd	519
3	11	Topic Models	topic-models.qmd	761
4	12	Time Series Data	ts-data.qmd	899
4	13	Time Domain Methods	ts-time-domain.qmd	731
4	14	Frequency Domain Methods	ts-freq-domain.qmd	642
5	15	Graph Theory for Machine Learning	graph-theory.qmd	1132
6	NA	MCMC: Markov Chain Monte Carlo	mcmc-appendix.qmd	386
6	NA	EM: the Expectation-Maximization Algorithm	em-algorithm.qmd	567
6	NA	Summary	summary.qmd	229
6	NA	References	references.qmd	4
